ID|USER|TARGET|MENTION|POLARITY|pcc|INFO|MESSAGE|PROCESSED|
209005594366058000|Teste|player|1098|-1|0|>>culpa\culpado é\foi do\o [TARGET] culpa é|O Burro Alves faz aquela pérola e a culpa é do Coentrão e do Patrício. O Hugo Almeida falha e a culpa tambem deve ser do Coentrão e Patrício|o burro alves faz aquela pérola e a culpa é do coentrão e do patrício. o hugo_almeida falha e a culpa tambem deve ser do coentrão e patrício|
209005109403856000|Teste|player|1098|1|0|; sentiTokens:jeitosa(1) burro(-1) fintou(1) ; score:1;|@_mr_malcontent o burro é que fintou os colegas de equipa (coentrao e patrcio) com aquela simulação jeitosa|<USER> o burro é que fintou os colegas de equipa (coentrao e patrcio) com aquela simulação jeitosa|
209002261655986000|Teste|player|1098|0|0|; sentiTokens:; score:0;|Qual era mesmo aquela #hastag dos espanhóis para o Coentrão?|qual era mesmo aquela #hastag dos espanhóis para o coentrão?|
209002273542647000|Teste|player|1098|0|-1|; sentiTokens:; score:0;|Não se esqueçam que nesta m*rda de defesa está o vosso amor Coentrão|não se esqueçam que nesta m*rda de defesa está o vosso amor coentrão|
209013627624239000|Teste|player|1098|0|-1|; sentiTokens:; score:0;|RT @katyfromhell: Oh @filipaclaro vai socorrer o teu Coentrão! :o|rt <USER> oh <USER> vai socorrer o teu coentrão! :o|
209013166011711000|Teste|player|1098|0|0|; sentiTokens:; score:0;|turquia, joss, stone e coentrão é tendência em Portugal http://t.co/1KttZoBt|turquia, joss, stone e coentrão é tendência em portugal <URL>|
209013183367753000|Teste|player|1098|-1|-1|; sentiTokens:falha(-1) culpa(0) ; score:-1;|Bruno Alves falha a cabeçada por culpa de Coentrão.|bruno alves falha a cabeçada por culpa de coentrão.|
209025935918370000|Teste|player|1098|0|-1|; sentiTokens:; score:0;|RT @jorgetavaresONE: O trabalho de equipa está a subir. O Coentrão desta vez já girou a ganza pelos seus restantes companheiros ! #teamwork|rt <USER> o trabalho de equipa está a subir. o coentrão desta vez já girou a ganza pelos seus restantes companheiros ! #teamwork|
209002091442733000|Teste|player|1098|-1|-1|>>Regra [VCOP] [Adj-] ? Neg""->  foi pior "|quem foi pior neste lance!? Miguel Lopes e Pepe, ou bruno alves, ou coentrão ou patricio!?|quem foi pior neste lance!? miguel_lopes e pepe, ou bruno_alves, ou coentrão ou patricio!?|
209002149689049000|Teste|player|1098|1|1|; sentiTokens:boa(1) ; score:1;|Rui Patrício e Coentrao! Boa dupla|rui patrício e coentrao! boa dupla|
208999909955874000|Teste|player|1098|0|1|; sentiTokens:melhores(0) ; score:0;|RT @Catia_Santos20: CONCORDO! RT @CatarinaC0sta Não Fábio Coentrão, não te lesiones porque és um dos melhores jogadores em campo! #Portugal|rt <USER> concordo! rt <USER> não fábio_coentrão, não te lesiones porque és um dos melhores jogadores em campo! #portugal|
209009965095075000|Teste|player|1098|-1|-1|; sentiTokens:dificuldades(-1) ; score:-1;|RT @Strone: Fabio Coentrão em dificuldades desde algum tempo sim, desde que começou a andar..|rt <USER> fabio coentrão em dificuldades desde algum tempo sim, desde que começou a andar..|
209009982904090000|Teste|player|1098|0|-1|; sentiTokens:; score:0;|Fábio Coentrão está em dificuldade há muitos anos, apenas isso justifica tal penteado.|fábio coentrão está em dificuldade há muitos anos, apenas isso justifica tal penteado.|
209010565690048000|Teste|player|1098|-1|-1|; sentiTokens:dificuldades(-1) ; score:-1;|RT @Strone: Fabio Coentrão em dificuldades desde algum tempo sim, desde que começou a andar..|rt <USER> fabio coentrão em dificuldades desde algum tempo sim, desde que começou a andar..|
209010238110703000|Teste|player|1098|-1|-1|; sentiTokens:dificuldades(-1) ; score:-1;|RT @Strone: Fabio Coentrão em dificuldades desde algum tempo sim, desde que começou a andar..|rt <USER> fabio coentrão em dificuldades desde algum tempo sim, desde que começou a andar..|
209010424899837000|Teste|player|1098|-1|-1|; sentiTokens:dificuldades(-1) ; score:-1;|RT @Strone: Fabio Coentrão em dificuldades desde algum tempo sim, desde que começou a andar..|rt <USER> fabio coentrão em dificuldades desde algum tempo sim, desde que começou a andar..|
