-1|@AlexandrePais devia fazer uma grande entrevista ao Louçã sobre as propostas alternativas do BE eheeh
0|":-))) RT @FernandaFreitas: E 6ª, Sócrates vai ao prog do Nicolau breyner...Por este andar teremos a troika no conta-me como foi"" ou assim.."""
0|'Antes de eu mandar na RTP' - Passos Coelho anunciou ontem o seu programa para a comunicacao social.
-1|'colégios de freiras mistos' #win by Pedro Passos Coelho #psd #5pmn
-1|'Demprego e juros poderiam ser menores caso Sócrates tivesse pedido ajuda mais cedo'
-1|"“@joaomhenrique: José Sócrates decide não divulgar fotos de Passos Coelho, morto politicamente ontem na operação Troika"".”"""
-1|“@omalestafeito: Passos Coelho alertou a troika para não se deixar enganar pelo governo - e para ter cuidado com a malta da Emel”
0|“Isto é tudo relativo”: Na entrevista que deu hoje à RPT, Pedro Passos Coelho explicou que Diogo Leite Campos, v... http://bit.ly/kWN4r0
0|[DN]: Passos admite reduzir número de deputados para 181: O líder do PSD disse no programa 5 para a Meia Noite, ... http://bit.ly/iT7JGN
0|[DN]: Passos Coelho anuncia posição do PSD na embaixada de Portugal em Londres: O presidente do PSD, faz hoje, n... http://bit.ly/mg9UAQ
0|[DN]: Passos Coelho: Portugal vai ter de ir aos mercados financiar-se já em 2012: O presidente do PSD afirmou ho... http://bit.ly/j6ieOf
0|"[ECONOMICO]: Maioria do PSD é indispensável"": Líder do PSD volta a pedir maioria absoluta no dia em que Portuga... http://bit.ly/m6aL4C"""
0|[Publico]  Paulo Portas quer avaliação de professores baseada no modelo do particular e… http://goo.gl/fb/HTz6u
0|[Publico]  Sócrates esperava “grandeza na política” http://goo.gl/fb/ZyaBQ
0|[TSF]: Jerónimo acusa Sócrates de ter mentido e de ter feito propaganda:   http://bit.ly/mywQTY
0|[TSF]: Marques Mendes: «Não é tempo de regionalização»: O antigo líder do PSD considera que o país não deve avan... http://bit.ly/mqF2Ff
0|[TSF]: Passos manifesta «total comprometimento» com objectivos do memorando: O líder do PSD manifestou «total co... http://bit.ly/msfzS0
0|[TSF]: Portas defende que Portugal não tenha alternativa a acordo de ajuda externa: Comentando o acordo sobre a ... http://bit.ly/klOSdW
0|[ULTIMAS] Jerónimo acusa Sócrates de ter mentido e de ter feito propaganda http://bit.ly/ijc7H8
