2011-05-06\2011-05-07|66578470695731200|14284888|ppcoelho|passos coelho|-1|#apombalivre: o passos coelho ainda não apareceu no twitter? das duas uma : ou está aflito a copiar inglés técnico, ou então perdeu-se. #fmi||||
2011-05-06\2011-05-07|66578793858482200|260841780|ppcoelho|passos coelho|-1|Eleitores consideram Sócrates melhor líder que Passos Coelho - Portugal - DN http://t.co/UfFK2QI||||
2011-05-06\2011-05-07|66578793858482200|260841780|jsocrates|sócrates|1|Eleitores consideram Sócrates melhor líder que Passos Coelho - Portugal - DN http://t.co/UfFK2QI||||
2011-05-06\2011-05-07|66578921025581100|150970628|jsocrates|socrates|0|@Dputamadre F-se! catroga! isto é que são cartas ó páh! amor. ali! de coração! adorei :) parabens :) #LoveSocrates #Socrates #PS #Love||||
2011-05-06\2011-05-07|66580764204073000|14284888|jsocrates|sócrates|0|#apombalivre: O catroga , para tentar chamar a atenção de Sócrates fez de tudo. Até cartas. A inveja é uma coisa terrível. #fmi||||
2011-05-06\2011-05-07|66581402350649400|16290016|jsocrates|socrates|-1|Dass, o SLB só me deu desgostos esta época, mas ao menos o Socrates não vai ser reeleito... oh wait --' #melão #pqp #povoburro||||
2011-05-06\2011-05-07|66581811454689300|218653131|pportas|portas|0|Siga ao minuto Debate Jerónimo Sousa/Paulo Portas &gt| TVI24 http://t.co/D3GLHRq|||
2011-05-06\2011-05-07|66581811454689300|218653131|jsousa|jerónimo sousa|0|Siga ao minuto Debate Jerónimo Sousa/Paulo Portas &gt| TVI24 http://t.co/D3GLHRq|||
2011-05-06\2011-05-07|66581837039931400|222302296|flouca|louçã|0|Francisco Louçã em Viseu  9 de Maio - Segunda Feira - 21h30 - Solar dos Peixotos (Assembleia Municipal de Viseu)  Mais informações:...||||
2011-05-06\2011-05-07|66582358849105900|20869984|jsocrates|sócrates|-1|Será que o Sócrates vai perguntar ao Luis se está bem?||||
2011-05-06\2011-05-07|66583113454719000|118793458|jsocrates|sócrates|1|Adorei o 5 para a meia-noite de ontem, com o Sócrates! :D||||
