ID|USER|TARGET|MENTION|POLARITY|INFO|MESSAGE|PROCESSED
209005594366058496|Teste|fcoentrao|coentrão|-1|;culpa\culpado éoi do\o [TARGET]-> culpa é;; sentiTokens:falha(-1) burro(-1) culpa(0) ; score:-2;|O Burro Alves faz aquela pérola e a culpa é do Coentrão e do Patrício. O Hugo Almeida falha e a culpa tambem deve ser do Coentrão e Patrício|o burro alves faz aquela pérola e a culpa é do coentrão e do patrício. o hugo almeida falha e a culpa tambem deve ser do coentrão e patrício
209005109403856896|Teste|fcoentrao|coentrao|1|;; sentiTokens:jeitosa(1) burro(-1) fintou(1) ; score:1;|@_mr_malcontent o burro é que fintou os colegas de equipa (coentrao e patrcio) com aquela simulação jeitosa| <USER> o burro é que fintou os colegas de equipa (coentrao e patrcio) com aquela simulação jeitosa
209002261655986176|Teste|fcoentrao|coentrão|0|;; sentiTokens:; score:0;|Qual era mesmo aquela #hastag dos espanhóis para o Coentrão?|qual era mesmo aquela #hastag dos espanhóis para o coentrão?
209002273542647809|Teste|fcoentrao|coentrão|0|;; sentiTokens:; score:0;|Não se esqueçam que nesta m*rda de defesa está o vosso amor Coentrão|não se esqueçam que nesta m*rda de defesa está o vosso amor coentrão
209013627624239105|Teste|fcoentrao|coentrão|0|;; sentiTokens:; score:0;|RT @katyfromhell: Oh @filipaclaro vai socorrer o teu Coentrão! :o|rt <USER> oh <USER> vai socorrer o teu coentrão! :o
209013166011711488|Teste|fcoentrao|coentrão|0|;; sentiTokens:; score:0;|turquia, joss, stone e coentrão é tendência em Portugal http://t.co/1KttZoBt|turquia, joss, stone e coentrão é tendência em portugal <URL> 
209013183367753729|Teste|fcoentrao|coentrão|-1|;; sentiTokens:falha(-1) culpa(0) ; score:-1;|Bruno Alves falha a cabeçada por culpa de Coentrão.|bruno alves falha a cabeçada por culpa de coentrão.
209025935918370817|Teste|fcoentrao|coentrão|0|;; sentiTokens:; score:0;|RT @jorgetavaresONE: O trabalho de equipa está a subir. O Coentrão desta vez já girou a ganza pelos seus restantes companheiros ! #teamwork|rt <USER> o trabalho de equipa está a subir. o coentrão desta vez já girou a ganza pelos seus restantes companheiros ! #teamwork
209002091442733058|Teste|fcoentrao|coentrão|-1|;Regra "[VCOP] [Adj-] ? Neg"->  foi pior ;; sentiTokens:pior(-1) ; score:-1;|quem foi pior neste lance!? Miguel Lopes e Pepe, ou bruno alves, ou coentrão ou patricio!?|quem foi pior neste lance!? miguel lopes e pepe, ou bruno alves, ou coentrão ou patricio!?
209002149689049088|Teste|fcoentrao|coentrao|1|;; sentiTokens:boa(1) ; score:1;|Rui Patrício e Coentrao! Boa dupla|rui patrício e coentrao! boa dupla
208999909955874816|Teste|fcoentrao|fábio coentrão|0|;; sentiTokens:melhores(0) ; score:0;|RT @Catia_Santos20: CONCORDO! RT @CatarinaC0sta Não Fábio Coentrão, não te lesiones porque és um dos melhores jogadores em campo! #Portugal|rt <USER> concordo! rt <USER> não fábio coentrão, não te lesiones porque és um dos melhores jogadores em campo! #portugal
209009965095075840|Teste|fcoentrao|coentrão|-1|;; sentiTokens:dificuldades(-1) ; score:-1;|RT @Strone: Fabio Coentrão em dificuldades desde algum tempo sim, desde que começou a andar..|rt <USER> fabio coentrão em dificuldades desde algum tempo sim, desde que começou a andar..
209009982904090624|Teste|fcoentrao|coentrão|0|;; sentiTokens:; score:0;|Fábio Coentrão está em dificuldade há muitos anos, apenas isso justifica tal penteado.|fábio coentrão está em dificuldade há muitos anos, apenas isso justifica tal penteado.
209010565690048512|Teste|fcoentrao|coentrão|-1|;; sentiTokens:dificuldades(-1) ; score:-1;|RT @Strone: Fabio Coentrão em dificuldades desde algum tempo sim, desde que começou a andar..|rt <USER> fabio coentrão em dificuldades desde algum tempo sim, desde que começou a andar..
209010238110703618|Teste|fcoentrao|coentrão|-1|;; sentiTokens:dificuldades(-1) ; score:-1;|RT @Strone: Fabio Coentrão em dificuldades desde algum tempo sim, desde que começou a andar..|rt <USER> fabio coentrão em dificuldades desde algum tempo sim, desde que começou a andar..
209010424899837952|Teste|fcoentrao|coentrão|-1|;; sentiTokens:dificuldades(-1) ; score:-1;|RT @Strone: Fabio Coentrão em dificuldades desde algum tempo sim, desde que começou a andar..|rt <USER> fabio coentrão em dificuldades desde algum tempo sim, desde que começou a andar..
209010094644539393|Teste|fcoentrao|coentrão|-1|;; sentiTokens:dificuldades(-1) ; score:-1;|RT @Strone: Fabio Coentrão em dificuldades desde algum tempo sim, desde que começou a andar..|rt <USER> fabio coentrão em dificuldades desde algum tempo sim, desde que começou a andar..
209010348362178560|Teste|fcoentrao|coentrão|-1|;; sentiTokens:dificuldades(-1) ; score:-1;|RT @Strone: Fabio Coentrão em dificuldades desde algum tempo sim, desde que começou a andar..|rt <USER> fabio coentrão em dificuldades desde algum tempo sim, desde que começou a andar..
209002335966478337|Teste|fcoentrao|coentrao|0|;Regra "[VSUP] [QUANT/0] [N-] ? Neg"->  teve culpa.;; sentiTokens:boa(1) culpa(0) ; score:1;|O Bruno Alves tb teve culpa. QT @d20fernandes: Rui Patrício e Coentrao! Boa dupla|o bruno alves tb teve culpa. qt <USER> rui patrício e coentrao! boa dupla
209002383638921216|Teste|fcoentrao|coentrão|-1|;; sentiTokens:nabo(-1) ; score:-1;|@kamponez NABO Coentrão!| <USER> nabo coentrão!
209002393130635265|Teste|fcoentrao|coentrão|0|;; sentiTokens:; score:0;|Qual era mesmo aquela #hashtag dos espanhóis para o Coentrão?|qual era mesmo aquela #hashtag dos espanhóis para o coentrão?
209002481735311361|Teste|fcoentrao|coentrao|1|;; sentiTokens:boa(1) ; score:1;|RT @d20fernandes: Rui Patrício e Coentrao! Boa dupla|rt <USER> rui patrício e coentrao! boa dupla
209002530850615296|Teste|fcoentrao|coentrão|-1|;culpa\culpado éoi do\o [TARGET]->foi;; sentiTokens:culpa(0) ; score:0;|@_mr_malcontent foi culpa do Coentrão ... Lol| <USER> foi culpa do coentrão ... lol
209002714720518144|Teste|fcoentrao|coentrão|0|;; sentiTokens:; score:0;|#silocomparasconcoentrao RT @ValeriePT: Qual era mesmo aquela #hastag dos espanhóis para o Coentrão?|#silocomparasconcoentrao rt <USER> qual era mesmo aquela #hastag dos espanhóis para o coentrão?
209002745036943361|Teste|fcoentrao|coentrao|1|;; sentiTokens:boa(1) ; score:1;|RT @d20fernandes: Rui Patrício e Coentrao! Boa dupla|rt <USER> rui patrício e coentrao! boa dupla
209003255919951872|Teste|fcoentrao|coentrão|-1|;Regra "[VCOP] [Adj-] ? Neg"->  foi pior ;; sentiTokens:pior(-1) ; score:-1;|RT @IvoGoncalves7: quem foi pior neste lance!? Miguel Lopes e Pepe, ou bruno alves, ou coentrão ou patricio!?|rt <USER> quem foi pior neste lance!? miguel lopes e pepe, ou bruno alves, ou coentrão ou patricio!?
209003252031819776|Teste|fcoentrao|coentrao|1|;; sentiTokens:simpatico(1) ; score:1;|@NatachaSantos30 ja fui ao bar dele mas nunca o vi. O coentrao tambem é e esse ja conhecia, o Bruno Alves parece-me simpatico lol| <USER> ja fui ao bar dele mas nunca o vi. o coentrao tambem é e esse ja conhecia, o bruno alves parece-me simpatico lol
209002862997544960|Teste|fcoentrao|coentrão|-1|;; sentiTokens:nabo(-1) burro(-1) golo(1) ; score:-1;|@kamponez Não, pá. Burro Alves e Nabo Coentrão. Ou não devia estar a marcar o gajo que marcou o golo?| <USER> não, pá. burro alves e nabo coentrão. ou não devia estar a marcar o gajo que marcou o golo?
209002828235149312|Teste|fcoentrao|coentrao|0|;; sentiTokens:; score:0;|@RMadridGirl bruno alves did not go for the ball... then rui did not either... and coentrao was taken by surprise!| <USER> bruno alves did not go for the ball... then rui did not either... and coentrao was taken by surprise!
209002910963613696|Teste|fcoentrao|fábio coentrão|0|;culpa\culpado éoi do\o [TARGET]->foi;; sentiTokens:culpa(0) adoram(0) golo(1) ; score:1;|Bruno Alves, o central que os portugueses adoram odiar. A culpa do golo foi claramente do Fábio Coentrão.|bruno alves, o central que os portugueses adoram odiar. a culpa do golo foi claramente do fábio coentrão.
209003433821339648|Teste|fcoentrao|coentrão|-1|;culpa\culpado éoi do\o [TARGET]-> culpa é;; sentiTokens:culpa(0) ; score:0;|Beeeem Hugo, a culpa é do Coentrão? LOL|beeeem hugo, a culpa é do coentrão? lol
209009692662444032|Teste|fcoentrao|coentrão|-1|;; sentiTokens:dificuldades(-1) ; score:-1;|Fabio Coentrão em dificuldades desde algum tempo sim, desde que começou a andar..|fabio coentrão em dificuldades desde algum tempo sim, desde que começou a andar..
208998915675131904|Teste|fcoentrao|fábio coentrão|0|;; sentiTokens:; score:0;|RT @CristianaRelvao: Fábio Coentrão #OrgulhoNacional|rt <USER> fábio coentrão #orgulhonacional
208998946931085313|Teste|fcoentrao|coentrão|1|;Smiley:  :);; sentiTokens:aplaudido(0) ; score:0;|Fábio Coentrão teve que fazer uma pequena pausa... mas está de volta e é aplaudido :)|fábio coentrão teve que fazer uma pequena pausa... mas está de volta e é aplaudido :)
208998963657981953|Teste|fcoentrao|coentrao|0|;; sentiTokens:; score:0;|oh moço tu tens de ir ao EURO! aquilo sem ti nao é o mesmo #coentrao|oh moço tu tens de ir ao euro! aquilo sem ti nao é o mesmo #coentrao
208999701083734017|Teste|fcoentrao|coentrão|1|;; sentiTokens:são(1) lindos(1) ; score:2;|RT @in1Dpants: CARREGA PORTUGAL!!!!! MEUS MENINOS SÃO TÃO LINDOS!!! MEU CRISTIANO, NANI, COENTRÃO, MIGUEL «3 Portugal vs Turkey|rt <USER> carrega portugal!!!!! meus meninos são tão lindos!!! meu cristiano, nani, coentrão, miguel «3 portugal vs turkey
208999062425436160|Teste|fcoentrao|coentrão|0|;; sentiTokens:; score:0;|O público não esquece Coentrão ...|o público não esquece coentrão ...
208999074282733568|Teste|fcoentrao|coentrão|0|;; sentiTokens:; score:0;|O Coentrão voltou, vamos a ver se foi só uma dor momentânea ou se foi mais grave...|o coentrão voltou, vamos a ver se foi só uma dor momentânea ou se foi mais grave...
208999102657200130|Teste|fcoentrao|coentrão|-1|;; sentiTokens:lesão(-1) ; score:-1;|Portugal momentaneamente c/10 unidades por lesão do Coentrão. Mas não tem sido assim desde o início? O Hugo Almeida tem contado para os 11?|portugal momentaneamente c/10 unidades por lesão do coentrão. mas não tem sido assim desde o início? o hugo almeida tem contado para os 11?
