ID|USER|TARGET|MENTION|INFO|GOLD|POLARITY|MESSAGE|TAGGED
209005594366058000|Teste|player|1098|;culpa\culpado éoi do\o [TARGET]-> culpa é|0|-1|O Burro Alves faz aquela pérola e a culpa é do Coentrão e do Patrício. O Hugo Almeida falha e a culpa tambem deve ser do Coentrão e Patrício|O Burro Alves faz aquela pérola e a culpa é do Coentrão e do Patrício. O Hugo Almeida falha e a culpa tambem deve ser do Coentrão e Patrício
209005109403856000|Teste|player|1098||0|0|@_mr_malcontent o burro é que fintou os colegas de equipa (coentrao e patrcio) com aquela simulação jeitosa|@_mr_malcontent o burro é que fintou os colegas de equipa (coentrao e patrcio) com aquela simulação jeitosa
209002261655986000|Teste|player|1098||0|0|Qual era mesmo aquela #hastag dos espanhóis para o Coentrão?|Qual era mesmo aquela #hastag dos espanhóis para o Coentrão?
209002273542647000|Teste|player|1098||-1|0|Não se esqueçam que nesta m*rda de defesa está o vosso amor Coentrão|Não se esqueçam que nesta m*rda de defesa está o vosso amor Coentrão
209013627624239000|Teste|player|1098|;Positive Interjection:  vai ;Negative Interjection:  oh |-1|0|RT @katyfromhell: Oh @filipaclaro vai socorrer o teu Coentrão! :o|RT @katyfromhell: Oh @filipaclaro vai socorrer o teu Coentrão! :o
209013166011711000|Teste|player|1098||0|0|turquia, joss, stone e coentrão é tendência em Portugal http://t.co/1KttZoBt|turquia, joss, stone e coentrão é tendência em Portugal http://t.co/1KttZoBt
209013183367753000|Teste|player|1098||-1|0|Bruno Alves falha a cabeçada por culpa de Coentrão.|Bruno Alves falha a cabeçada por culpa de Coentrão.
209025935918370000|Teste|player|1098||-1|0|RT @jorgetavaresONE: O trabalho de equipa está a subir. O Coentrão desta vez já girou a ganza pelos seus restantes companheiros ! #teamwork|RT @jorgetavaresONE: O trabalho de equipa está a subir. O Coentrão desta vez já girou a ganza pelos seus restantes companheiros ! #teamwork
209002091442733000|Teste|player|1098|;Regra "[VCOP] [Adj-] ? Neg"->  foi pior |-1|-1|quem foi pior neste lance!? Miguel Lopes e Pepe, ou bruno alves, ou coentrão ou patricio!?|quem foi pior neste lance!? Miguel Lopes e Pepe, ou bruno alves, ou coentrão ou patricio!?
209002149689049000|Teste|player|1098|;Positive Interjection:  boa |1|1|Rui Patrício e Coentrao! Boa dupla|Rui Patrício e Coentrao! Boa dupla
208999909955874000|Teste|player|1098||1|0|RT @Catia_Santos20: CONCORDO! RT @CatarinaC0sta Não Fábio Coentrão, não te lesiones porque és um dos melhores jogadores em campo! #Portugal|RT @Catia_Santos20: CONCORDO! RT @CatarinaC0sta Não Fábio Coentrão, não te lesiones porque és um dos melhores jogadores em campo! #Portugal
209009965095075000|Teste|player|1098||-1|0|RT @Strone: Fabio Coentrão em dificuldades desde algum tempo sim, desde que começou a andar..|RT @Strone: Fabio Coentrão em dificuldades desde algum tempo sim, desde que começou a andar..
209009982904090000|Teste|player|1098|;Regra "[VSUP] [QUANT/0] [N-] ? Neg"->  está em dificuldade |-1|-1|Fábio Coentrão está em dificuldade há muitos anos, apenas isso justifica tal penteado.|Fábio Coentrão está em dificuldade há muitos anos, apenas isso justifica tal penteado.
209010565690048000|Teste|player|1098||-1|0|RT @Strone: Fabio Coentrão em dificuldades desde algum tempo sim, desde que começou a andar..|RT @Strone: Fabio Coentrão em dificuldades desde algum tempo sim, desde que começou a andar..
209010238110703000|Teste|player|1098||-1|0|RT @Strone: Fabio Coentrão em dificuldades desde algum tempo sim, desde que começou a andar..|RT @Strone: Fabio Coentrão em dificuldades desde algum tempo sim, desde que começou a andar..
209010424899837000|Teste|player|1098||-1|0|RT @Strone: Fabio Coentrão em dificuldades desde algum tempo sim, desde que começou a andar..|RT @Strone: Fabio Coentrão em dificuldades desde algum tempo sim, desde que começou a andar..
209010094644539000|Teste|player|1098||-1|0|RT @Strone: Fabio Coentrão em dificuldades desde algum tempo sim, desde que começou a andar..|RT @Strone: Fabio Coentrão em dificuldades desde algum tempo sim, desde que começou a andar..
209010348362178000|Teste|player|1098||-1|0|RT @Strone: Fabio Coentrão em dificuldades desde algum tempo sim, desde que começou a andar..|RT @Strone: Fabio Coentrão em dificuldades desde algum tempo sim, desde que começou a andar..
209002335966478000|Teste|player|1098|;Regra "[VSUP] [QUANT/0] [N-] ? Neg"->  teve culpa.;Positive Interjection:  boa |1|0|O Bruno Alves tb teve culpa. QT @d20fernandes: Rui Patrício e Coentrao! Boa dupla|O Bruno Alves tb teve culpa. QT @d20fernandes: Rui Patrício e Coentrao! Boa dupla
