ID|USER|TARGET|MENTION|POLARITY|INFO|MESSAGE|TAGGED
65793397230809089|27752159|"flouca"|"francisco louçã"|0|"Targets: francisco louçã; sentiTokens:; score:0;"|"I favorited a @YouTube video http://youtu.be/JhWaMF-Tdeg?a Francisco Louçã / Pedro Fernandes / 5 Pa"|"i favorited a @youtube video http://youtu.be/jhwamf-tdeg?a francisco_louçã / pedro fernandes / 5 pa"
65792852109688833|27752159|"flouca"|"francisco louçã"|0|"Targets: francisco louçã; sentiTokens:; score:0;"|"I liked a @YouTube video http://youtu.be/JhWaMF-Tdeg?a Francisco Louçã / Pedro Fernandes / 5 Para a Meia Noit"|"i liked a @youtube video http://youtu.be/jhwamf-tdeg?a francisco_louçã / pedro fernandes / 5 para a meia noit"
65768074455957504|74433655|"flouca"|"louçã"|0|"Targets: louçã; sentiTokens:; score:0;"|"Francisco Louçã RT @pulsar_ana: Vamos lá a saber, quem vai?? http://twitpic.com/4t946t"|"francisco louçã rt @pulsar_ana: vamos lá a saber, quem vai?? http://twitpic.com/4t946t"
65754386936250368|266828775|"flouca"|"louçã"|-1|"Targets: sócrates,louçã;Heavy Punctuation: !!!"|"@bytoke @andre_f_mendes bons tempos em que Sócrates dava uma coça ao Louçã num debate por causa dessas mesmas deduções... volta 2009!!!"|"@bytoke @andre_f_mendes bons tempos em que sócrates dava uma coça ao louçã num debate por causa dessas mesmas deduções... volta 2009!!!"
65721713425514496|47476545|"flouca"|"louçã"|-1|"Targets: louçã;Regra "[VCOP] [QUANT] [Adj-] ? Pos""->  é tão surreal "|"A capa do i é tão surreal que até Louçã desconfiou."|"a capa do i é tão surreal que até louçã desconfiou."
65720041907302400|23011527|"flouca"|"louçã"|0|"Targets: louçã; sentiTokens:; score:0;"|"@BAkuarela não consigo achar piada áquilo n vejo mas sei q foi lá o louçã"|"@bakuarela não consigo achar piada áquilo n vejo mas sei q foi lá o louçã"
65568216478519297|38531188|"flouca"|"louçã"|-1|"Targets: louçã;Regra "[VCOP] [Adj-] ? Neg""->  ficou desiludido "|"O Louçã viu o Jurassic Park e ficou desiludido com o Spielberg? Desceu na minha consideração. #5meianoite"|"o louçã viu o jurassic park e ficou desiludido com o spielberg? desceu na minha consideração. #5meianoite"
65568078393643008|7025012|"flouca"|"louçã"|0|"Targets: louçã; sentiTokens:; score:0;"|"Já não voto no Louçã. Ele não sabe o que é o Final Fantasy."|"já não voto no louçã. ele não sabe o que é o final fantasy."
65566047708786688|59102196|"flouca"|"louçã"|-1|"Targets: louçã;Interjection:  foda-se "|"O Louçã RT @janlamour: @fcancio @LIAWHITING1 que Francisco tem dentes amarelos? Foda-se dentes são tudo!"|"o louçã rt @janlamour: @fcancio @liawhiting1 que francisco tem dentes amarelos? foda-se dentes são tudo!"
65565782792351744|59102196|"flouca"|"louçã"|-1|"Targets: louçã; sentiTokens:mania(-1) amarelos(-1) ; score:-2;"|"@fcancio O Francisco tem dentes amarelos ( Louçã ) o Francisco q tem a mania q é @chicodeoeiras tem os dentes brancos"|"@fcancio o francisco tem dentes amarelos ( louçã ) o francisco q tem a mania q é @chicodeoeiras tem os dentes brancos"
65562937028386816|38531188|"flouca"|"louçã"|-1|"Targets: louçã;Interjection: ui,"|"Ui, o Louçã vai tentar adivinhar o preço de coisas na feira. #5meianoite"|"ui, o louçã vai tentar adivinhar o preço de coisas na feira. #5meianoite"
65562908209328128|50764654|"flouca"|"louçã"|-1|"Targets: louçã;Heavy Punctuation: á!!"|"Francisco partes a Louçã toda pá!!"|"francisco partes a louçã toda pá!!"
65562877347643392|69389193|"flouca"|"louçã"|-1|"Targets: louçã;Haha:  hehehe"|"Bom, shutting down all systems, tv na 2 com temporizador pois o Louçã dá-me sono... Hehehe... Beijos a tod@s... :-)"|"bom, shutting down all systems, tv na 2 com temporizador pois o louçã dá-me sono... hehehe... beijos a tod@s... :-)"
65561962301497345|51500961|"flouca"|"louçã"|0|"Targets: louçã; sentiTokens:; score:0;"|"E o tema já começou a bater... ganza Louçã, ganza!"|"e o tema já começou a bater... ganza louçã, ganza!"
65561619446513664|24606987|"flouca"|"louçã"|0|"Targets: louçã; sentiTokens:politico(0) ; score:0;"|"Francisco Louçã derrubou logo na 1º pergunta o @pedrorfernandes. Pede o numero da Joana Amaral e o politico diz que essa piada e dos gatos"|"francisco louçã derrubou logo na 1º pergunta o @pedrorfernandes. pede o numero da joana amaral e o politico diz que essa piada e dos gatos"
65560783077126144|65052322|"flouca"|"louçã"|-1|"Targets: louçã;Interjection: ui,"|"Ui, o Louçã está na 5 para a Meia Noite.."|"ui, o louçã está na 5 para a meia noite.."
65560407871463424|23683605|"flouca"|"louçã"|0|"Targets: louçã; sentiTokens:; score:0;"|"Francisco Louçã começa a entrevista em grande! E relembra aquilo que tinha escrito aqui há 2 min! #5PMN Louçã 1 - 0 PMF"|"francisco louçã começa a entrevista em grande! e relembra aquilo que tinha escrito aqui há 2 min! #5pmn louçã 1 - 0 pmf"
65560403232563200|7025012|"flouca"|"francisco louçã"|-1|"Targets: francisco louçã;Haha: haha"|"O Francisco Louçã veio de um comício em Setúbal. Damn it... se soubesse tinha ido buscar a sniper ahaha"|"o francisco_louçã veio de um comício em setúbal. damn it... se soubesse tinha ido buscar a sniper ahaha"
65560050621616128|22408430|"flouca"|"louçã"|-1|"Targets: louçã; sentiTokens:droga(-1) ; score:-1;"|"Olha o Louçã. Legalizem a droga mas é."|"olha o louçã. legalizem a droga mas é."
65558430781423616|23011527|"flouca"|"louçã"|-1|"Targets: louçã;LOL:  lool"|"RT @tartofs: Louçã apresentado no 5 pra meia-noite como o "Homem do Bloco inteiro". lool"|"rt @tartofs: louçã apresentado no 5 pra meia-noite como o "homem do bloco inteiro". lool"
65558279010516992|7025012|"flouca"|"francisco louçã"|0|"Targets: francisco louçã; sentiTokens:; score:0;"|"Vou já "sintonizar" RT @pedromamede: Francisco Louçã no #5meianoite"|"vou já "sintonizar" rt @pedromamede: francisco_louçã no #5meianoite"
65558201155862528|38531188|"flouca"|"louçã"|0|"Targets: louçã; sentiTokens:; score:0;"|"Ora vamos lá ouvir o que o Louçã tem para dizer. #5meianoite"|"ora vamos lá ouvir o que o louçã tem para dizer. #5meianoite"
65558157535084544|19674853|"flouca"|"louçã"|0|"Targets: louçã; sentiTokens:; score:0;"|"Francisco Louçã no #5meianoite"|"francisco louçã no #5meianoite"
65556941577003008|14587641|"flouca"|"louçã"|0|"Targets: louçã; sentiTokens:; score:0;"|"São uns betos. “@jimbras: O assessor do Louçã tem um #iPhone4. Burguesia?! #5meianoite”"|"são uns betos. “@jimbras: o assessor do louçã tem um #iphone4. burguesia?! #5meianoite”"
65556748236365824|23011527|"flouca"|"louçã"|0|"Targets: louçã; sentiTokens:; score:0;"|"RT @jimbras: O assessor do Louçã tem um #iPhone4. Burguesia?! #5meianoite"|"rt @jimbras: o assessor do louçã tem um #iphone4. burguesia?! #5meianoite"
65556711615901698|261440719|"flouca"|"louçã"|0|"Targets: louçã; sentiTokens:; score:0;"|"O assessor do Louçã tem um #iPhone4. Burguesia?! #5meianoite"|"o assessor do louçã tem um #iphone4. burguesia?! #5meianoite"
65556130662842368|23011527|"flouca"|"louçã"|-1|"Targets: louçã; sentiTokens:melhor(0) irrealista(-1) ; score:-1;"|"irrealista é pensar q há algum deles melhor que o Louçã... só eu talvez.RT @jmmlourenco: @ChicodeOeiras irrealista"|"irrealista é pensar q há algum deles melhor que o louçã... só eu talvez.rt @jmmlourenco: @chicodeoeiras irrealista"
65555243596910593|261440719|"flouca"|"louçã"|0|"Targets: louçã; sentiTokens:; score:0;"|"Francisco Louçã is in the building. #5meianoite"|"francisco louçã is in the building. #5meianoite"
65542597543854080|42011097|"flouca"|"louçã"|-1|"Targets: sócrates,louçã; sentiTokens:desemprego(-1) ; score:-1;"|"[Publico]  Sócrates apontou para PEC de recessão e desemprego, acusa Louçã http://goo.gl/fb/cTnS2"|"[publico]  sócrates apontou para pec de recessão e desemprego, acusa louçã http://goo.gl/fb/ctns2"
65540212813594624|85666916|"flouca"|"louçã"|-1|"Targets: louçã;Interjection:  lindo,"|"@kapaeme - o Louçã a falar. xDDD Amei a parte em que o teu bonequinho abre a porta do BE e só fumo a sair. xDDD Opá lindo, mesmo!!"|"@kapaeme - o louçã a falar. xddd amei a parte em que o teu bonequinho abre a porta do be e só fumo a sair. xddd opá lindo, mesmo!!"
