DATE|ID|USER|TARGET|MENTION|POLARITY|INFO|MESSAGE|TAGGED
2012-09-07 12:29:29|"244049751996256256"|19368263|"ppcoelho"|"passos coelho"|0|"Targets: passos coelho"|"Passos Coelho anuncia às 19h15 novas medidas de austeridade - Jornal de negócios online http://t.co/kXFWD9cf via @jornaldnegocios"|"Passos Coelho anuncia às 19h15 novas medidas de austeridade - Jornal de negócios online http://t.co/kXFWD9cf via @jornaldnegocios"
2012-09-07 12:41:21|"244052736201613312"|14239475|"ppcoelho"|"passos coelho"|0|"Targets: passos coelho"|"Adorava que isto acontecesse ao Nuno Crato... Vá! E ao Passos Coelho também... http://t.co/BXdVoVoe"|"Adorava que isto acontecesse ao Nuno Crato... Vá! E ao Passos Coelho também... http://t.co/BXdVoVoe"
2012-09-07 13:03:50|"244058393466241024"|22476819|"ppcoelho"|"passos coelho"|0|"Targets: passos coelho"|"Vem ai merda...."@RTPNoticias: Passos Coelho anuncia hoje medidas de austeridade antes do Portugal-Luxemburgo. http://t.co/Fu63yqJW""|"Vem ai merda...."@RTPNoticias: Passos Coelho anuncia hoje medidas de austeridade antes do Portugal-Luxemburgo. http://t.co/Fu63yqJW""
2012-09-07 13:19:37|"244062366621388800"|77826352|"ppcoelho"|"passos coelho"|0|"Targets: passos coelho"|"RT @omalestafeito: "Passos Coelho anuncia mais austeridade"  ,  Cavaco: "Mais austeridade deve ser para os que não as suportam" Ufa! Já  ..."|"RT @omalestafeito: "Passos Coelho anuncia mais austeridade"  ,  Cavaco: "Mais austeridade deve ser para os que não as suportam" Ufa! Já  ..."
2012-09-07 13:41:41|"244067919531749376"|23353285|"ppcoelho"|"passos coelho"|1|"Targets: passos coelho;Smiley:  :)))"|"“@JornalNoticias: EM ATUALIZAÇÃO: Passos Coelho fala esta sexta-feira ao país - http://t.co/O4Oc6CUd” ui lá vem bomba :)))"|"“@JornalNoticias: EM ATUALIZAÇÃO: Passos Coelho fala esta sexta-feira ao país - http://t.co/O4Oc6CUd” ui lá vem bomba :)))"
2012-09-07 13:41:18|"244067825474469890"|37675597|"ppcoelho"|"passos coelho"|0|"Targets: passos coelho"|"@jcaetanodias Não alinho na diabilização dos FB. Quanto às soluções q o Passos Coelho apresenta só revelam a sua incompetência e impotência."|"@jcaetanodias Não alinho na diabilização dos FB. Quanto às soluções q o Passos Coelho apresenta só revelam a sua incompetência e impotência."
2012-09-07 14:01:30|"244072906383036416"|21890926|"ppcoelho"|"ppc"|0|"Targets: ppc"|"RT @pncorreia: início de um fim de semana auspicioso: PPC anuncia sobretaxa de 75% sobre subsídios em 2013 e, LUX 1 - 0 POR (CR7 falha pen)"|"RT @pncorreia: início de um fim de semana auspicioso: PPC anuncia sobretaxa de 75% sobre subsídios em 2013 e, LUX 1 - 0 POR (CR7 falha pen)"
2012-09-07 14:23:53|"244078539094253569"|77826352|"ppcoelho"|"ppc"|1|"Targets: ppc;Positive Interjection:  vai "|"RT @matias_pedro: De certeza! RT @walternatez: Será q o ppc vai estimular a compra de carros e motos neste proximo trimestre? @matias_pe ..."|"RT @matias_pedro: De certeza! RT @walternatez: Será q o ppc vai estimular a compra de carros e motos neste proximo trimestre? @matias_pe ..."
2012-09-07 15:43:29|"244098571140476928"|22693800|"ppcoelho"|"passos coelho"|0|"Targets: passos coelho"|"Passos Coelho anunciou que vai falar às 19h15 e os portugueses mal podem aguentar a expectativa: será que ele sabe... http://t.co/nuzo92Sp"|"Passos Coelho anunciou que vai falar às 19h15 e os portugueses mal podem aguentar a expectativa: será que ele sabe... http://t.co/nuzo92Sp"
2012-09-07 15:44:07|"244098730599534592"|77826352|"ppcoelho"|"passos coelho"|0|"Targets: passos coelho"|"Lido no FB «Selecção Nacional corre o risco de jogar sem nação. Passos Coelho fala às 19h45»"|"Lido no FB «Selecção Nacional corre o risco de jogar sem nação. Passos Coelho fala às 19h45»"
2012-09-07 16:16:18|"244106831629258754"|22345600|"ppcoelho"|"passos coelho"|0|"Targets: passos coelho"|"O dia do sexo não foi ontem? Pq é que hoje vamos ser todos f***dos pelo Passos Coelho às 19:15? #portugal"|"O dia do sexo não foi ontem? Pq é que hoje vamos ser todos f***dos pelo Passos Coelho às 19:15? #portugal"
2012-09-07 16:51:04|"244115582348324864"|21890926|"ppcoelho"|"passos coelho"|0|"Targets: passos coelho"|"RT @__pq: largas. já n tenho idade pra coisas apertadas RT @__tomaz: 86-60-86 RT @itwitting: Que medidas deveria Passos Coelho anunciar?"|"RT @__pq: largas. já n tenho idade pra coisas apertadas RT @__tomaz: 86-60-86 RT @itwitting: Que medidas deveria Passos Coelho anunciar?"
2012-09-07 12:33:20|"244050720314245120"|36311611|"ppcoelho"|"passos coelho"|0|"Targets: passos coelho"|"RT @AnaCatarinaSant: Mayday, mayday! Declaração de Passos Coelho ao país, às 19.15H, para anunciar novas medidas de austeridade. (fonte  ..."|"RT @AnaCatarinaSant: Mayday, mayday! Declaração de Passos Coelho ao país, às 19.15H, para anunciar novas medidas de austeridade. (fonte  ..."
2012-09-07 12:34:17|"244050959947419649"|15457785|"ppcoelho"|"passos coelho"|0|"Targets: passos coelho"|"19:45h Passos Coelho vai falar ao pais, acho k vai oferecer doces ao pessoal."|"19:45h Passos Coelho vai falar ao pais, acho k vai oferecer doces ao pessoal."
2012-09-07 12:30:14|"244049940823801856"|20583613|"ppcoelho"|"passos coelho"|0|"Targets: passos coelho"|"Mayday, mayday! Declaração de Passos Coelho ao país, às 19.15H, para anunciar novas medidas de austeridade. (fonte Jornal Negócios)"|"Mayday, mayday! Declaração de Passos Coelho ao país, às 19.15H, para anunciar novas medidas de austeridade. (fonte Jornal Negócios)"
2012-09-07 12:52:33|"244055554543210497"|51827660|"ppcoelho"|"passos coelho"|0|"Targets: passos coelho"|"RT @SemPachorra: Passos Coelho vai anunciar aumento dos impostos a todos os jogadores da selecção nacional a meia hora do início do jogo"|"RT @SemPachorra: Passos Coelho vai anunciar aumento dos impostos a todos os jogadores da selecção nacional a meia hora do início do jogo"
2012-09-07 12:54:14|"244055979744964608"|180928454|"ppcoelho"|"passos coelho"|0|"Targets: passos coelho"|"Passos Coelho anuncia às 19h15 novas medidas de austeridade http://t.co/xeKLiNIM"|"Passos Coelho anuncia às 19h15 novas medidas de austeridade http://t.co/xeKLiNIM"
2012-09-07 14:08:02|"244074552081141760"|15221517|"ppcoelho"|"passos coelho"|0|"Targets: passos coelho"|"Passos Coelho fala esta sexta-feira ao país via Newsletter JN (NEWSGEN) - O primeiro-ministro vai ... http://t.co/Qn4glIno"|"Passos Coelho fala esta sexta-feira ao país via Newsletter JN (NEWSGEN) - O primeiro-ministro vai ... http://t.co/Qn4glIno"
2012-09-07 14:45:54|"244084080566751232"|28173996|"ppcoelho"|"passos coelho"|0|"Targets: passos coelho"|"Passos Coelho anuncia às 19h15 novas medidas de austeridade (act) http://t.co/v05HtokY"|"Passos Coelho anuncia às 19h15 novas medidas de austeridade (act) http://t.co/v05HtokY"
2012-09-07 15:05:29|"244089009775706112"|55051675|"ppcoelho"|"ppc"|-1|"Targets: ppc;Regra "[VCOP] [Adj-] ? Neg"->  fica lixado "|"RT @osAristocratas: PPC anuncia Austeridade antes da seleção porque um gajo fica lixado mas depois entra o Postiga e a gente vê q, pront ..."|"RT @osAristocratas: PPC anuncia Austeridade antes da seleção porque um gajo fica lixado mas depois entra o Postiga e a gente vê q, pront ..."
2012-09-07 15:07:48|"244089590665846784"|40705534|"ppcoelho"|"passos coelho"|0|"Targets: passos coelho"|"RT @omalestafeito: Passos coelho anuncia às 19h15 novas medidas de austeridade - o avião do Portas chega às 19:30"|"RT @omalestafeito: Passos coelho anuncia às 19h15 novas medidas de austeridade - o avião do Portas chega às 19:30"
2012-09-07 15:44:55|"244098932966318080"|77826352|"ppcoelho"|"passos coelho"|0|"Targets: passos coelho"|"RT @Xuta: Já sei qual vai o discurso do Passos Coelho:  " vocês portugueses têm um cu que é uma maravilha. ""|"RT @Xuta: Já sei qual vai o discurso do Passos Coelho:  " vocês portugueses têm um cu que é uma maravilha. ""
2012-09-07 15:48:26|"244099820241948672"|77789815|"ppcoelho"|"passos coelho"|0|"Targets: passos coelho"|"O Passos Coelho vai dar uma maozinha à festa do Avante. Assim ja têm tema de conversa #AVANTE12 #austeridade"|"O Passos Coelho vai dar uma maozinha à festa do Avante. Assim ja têm tema de conversa #AVANTE12 #austeridade"
2012-09-07 15:45:52|"244099173794865153"|77826352|"ppcoelho"|"passos coelho"|0|"Targets: passos coelho"|"Momento porno-LOL do dia RT @Xuta Já sei qual vai o discurso do Passos Coelho: " vocês portugueses têm um cu que é uma maravilha. ""|"Momento porno-LOL do dia RT @Xuta Já sei qual vai o discurso do Passos Coelho: " vocês portugueses têm um cu que é uma maravilha. ""
2012-09-07 16:48:25|"244114912450850816"|122053254|"ppcoelho"|"ppc"|0|"Targets: ppc"|"@arroz PPC picked a great time to bury the bad news"|"@arroz PPC picked a great time to bury the bad news"
