ID|USER|TARGET|MENTION|POLARITY|INFO|MESSAGE|TAGGED
68387518621556736|19019970|"flouca"|"louçã"||"Targets: louçã,sócrates"|"O Minuto a Minuto já está online. Não perca o frente-a-frente Louçã/Sócrates. Participe!"|"o minuto a minuto já está online. não perca o frente-a-frente louçã/sócrates. participe!"
68387142526713856|19083439|"flouca"|"louçã"||"Targets: sócrates,louçã"|"RT @ccz1: O k dirá Sócrates quando Louçã propuser o fim das deduções fiscais na saúde e educação?"|"rt @ccz1: o k dirá sócrates quando louçã propuser o fim das deduções fiscais na saúde e educação?"
68387088604733440|28624570|"flouca"|"louçã"||"Targets: sócrates,louçã"|"O k dirá Sócrates quando Louçã propuser o fim das deduções fiscais na saúde e educação?"|"o k dirá sócrates quando louçã propuser o fim das deduções fiscais na saúde e educação?"
68385128191229952|34076997|"flouca"|"louçã"||"Targets: sócrates,louçã"|"Só talvez à @fcancio que assim só pode "malhar" na gravata do Sócrates... . RT @AldaTelles: ... o Louçã não nos provoca angústias. Nenhumas."|"só talvez à @fcancio que assim só pode "malhar" na gravata do sócrates... . rt @aldatelles: ... o louçã não nos provoca angústias. nenhumas."
68384527134896128|17163446|"flouca"|"louçã"||"Targets: sócrates,louçã"|"SIC e Parlamento Global lançam grande operação de cobertura online do debate Sócrates-Louçã - Participe e comente. http://ow.ly/4SnLP"|"sic e parlamento global lançam grande operação de cobertura online do debate sócrates-louçã - participe e comente. http://ow.ly/4snlp"
68383685707186176|30246683|"flouca"|"louçã"||"Targets: sócrates,louçã"|"Vejam só que comenta o Debate Sócrates Louçã em 2009 no CM: Nogueira Leite. hummmmmmm quem e´?"|"vejam só que comenta o debate sócrates louçã em 2009 no cm: nogueira_leite. hummmmmmm quem e´?"
68382545422721024|86429346|"flouca"|"louçã"||"Targets: louçã"|"@RaulCordeiro Se bem k o Louçã, k na altura foi crucificado por defender redução/abolição em certas deduçõe… (cont) http://deck.ly/~DkxIK"|"@raulcordeiro se bem k o louçã, k na altura foi crucificado por defender redução/abolição em certas deduçõe… (cont) http://deck.ly/~dkxik"
68382443484360704|23011527|"flouca"|"louçã"||"Targets: louçã"|"n sejas assim pá RT @AldaTelles: @raulcordeiro Louçã já perdeu tudo o que tinha a perder. E foi muito. @fcancio"|"n sejas assim pá rt @aldatelles: @raulcordeiro louçã já perdeu tudo o que tinha a perder. e foi muito. @fcancio"
68382354611249155|21648020|"flouca"|"louçã"||"Targets: louçã"|"@raulcordeiro Louçã já perdeu tudo o que tinha a perder. E foi muito. @fcancio"|"@raulcordeiro louçã já perdeu tudo o que tinha a perder. e foi muito. @fcancio"
68381159066841088|86429346|"flouca"|"louçã"||"Targets: sócrates,louçã"|"RT @AldaTelles: *Serviço público* Datas próximos debates 11/5 - Sócrates/Louçã (SIC) 12 Maio - Francis… (cont) http://deck.ly/~ZoO6l"|"rt @aldatelles: *serviço público* datas próximos debates 11/5 - sócrates/louçã (sic) 12 maio - francis… (cont) http://deck.ly/~zoo6l"
